Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
3000,6,20/12/2025 01:32:19,1118.4215545654297,4,2,280,144,76,68,70.0,4.0,76,68,72.0,5.656854249492381,379105.7122148795,5364.703474738862,223.68431091308594,362.2091196104843,870.4662322998047,25.510787963867188,1118.4215545654297,372.80718485514325,495.0261787338032,944.3759918212891,81.30073547363281,977.2777557373047,977.2777557373047,0.0,977.2777557373047,977.2777557373047,0,0,0,0,136,72,3576.4689831592414,1788.2344915796207,68,76,70.66666666666667,4.1311822359545785,17.06666666666667,2,2,0,0,5,0,0,0,0.5,70.66666666666667,70.0,72.0,0,0,0,0,0,0,4,280,2,144,64240,65160,0,68,1118.4215545654297,0,1118.4215545654297,1118.4215545654297,0,0,0,0
3000,6,20/12/2025 01:32:19,61758484.60197449,6,5,633,1696,285,68,105.5,87.99488621505229,1416,68,339.2,601.9594670739882,37.711417548699686,0.17811317863275936,6175848.460197449,17499789.519653186,55691951.03645325,5.7220458984375,61758474.826812744,12351694.965362549,24368741.39815398,55691951.03645325,30.040740966796875,61758472.44262695,15439618.110656738,27014527.521767817,55739405.63201904,83.20808410644531,1,1,0,0,200,168,0.09715264289059602,0.08096053574216334,68,1416,211.72727272727272,404.6094637818277,163708.81818181815,2,2,0,2,10,0,0,0,0.8333333333333334,211.72727272727272,105.5,339.2,0,0,0,0,0,0,6,633,5,1696,64240,65160,1,68,61758484.60197449,0,61758484.60197449,61758484.60197449,0,0,0,0
51502,6,20/12/2025 01:33:28,1.0,1,0,56,0,56,56,56.0,0.0,0,0,0.0,0.0,56000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0,1000000.0,0.0,56,56,56.0,0.0,0.0,0,0,1,0,1,0,0,0,0.0,56.0,56.0,0.0,0,0,0,0,0,0,1,56,0,0,0,0,0,56,1.0,0,1.0,1.0,0,0,0,0
51514,6,20/12/2025 01:33:30,1.0,1,0,56,0,56,56,56.0,0.0,0,0,0.0,0.0,56000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0,1000000.0,0.0,56,56,56.0,0.0,0.0,0,0,1,0,1,0,0,0,0.0,56.0,56.0,0.0,0,0,0,0,0,0,1,56,0,0,0,0,0,56,1.0,0,1.0,1.0,0,0,0,0
51518,6,20/12/2025 01:33:34,1.0,1,0,56,0,56,56,56.0,0.0,0,0,0.0,0.0,56000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0,1000000.0,0.0,56,56,56.0,0.0,0.0,0,0,1,0,1,0,0,0,0.0,56.0,56.0,0.0,0,0,0,0,0,0,1,56,0,0,0,0,0,56,1.0,0,1.0,1.0,0,0,0,0
51530,6,20/12/2025 01:33:36,1.0,1,0,56,0,56,56,56.0,0.0,0,0,0.0,0.0,56000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0,1000000.0,0.0,56,56,56.0,0.0,0.0,0,0,1,0,1,0,0,0,0.0,56.0,56.0,0.0,0,0,0,0,0,0,1,56,0,0,0,0,0,56,1.0,0,1.0,1.0,0,0,0,0
60242,6,20/12/2025 01:33:25,1.0,1,0,56,0,56,56,56.0,0.0,0,0,0.0,0.0,56000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0,1000000.0,0.0,56,56,56.0,0.0,0.0,0,0,1,0,1,0,0,0,0.0,56.0,56.0,0.0,0,0,0,0,0,0,1,56,0,0,0,0,0,56,1.0,0,1.0,1.0,0,0,0,0
44376,6,20/12/2025 01:41:08,1.0,1,0,56,0,56,56,56.0,0.0,0,0,0.0,0.0,56000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0,1000000.0,0.0,56,56,56.0,0.0,0.0,0,0,1,0,1,0,0,0,0.0,56.0,56.0,0.0,0,0,0,0,0,0,1,56,0,0,0,0,0,56,1.0,0,1.0,1.0,0,0,0,0
44378,6,20/12/2025 01:41:11,1.0,1,0,56,0,56,56,56.0,0.0,0,0,0.0,0.0,56000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0,1000000.0,0.0,56,56,56.0,0.0,0.0,0,0,1,0,1,0,0,0,0.0,56.0,56.0,0.0,0,0,0,0,0,0,1,56,0,0,0,0,0,56,1.0,0,1.0,1.0,0,0,0,0
3000,6,20/12/2025 01:40:05,28462.40997314453,4,3,280,212,76,68,70.0,4.0,76,68,70.66666666666667,4.618802153517006,17285.95717875691,245.9384151449154,4743.734995524089,7285.370889230424,18710.851669311523,46.01478576660156,28462.40997314453,9487.469991048178,11172.982647144841,21880.388259887695,185.0128173828125,28211.593627929688,14105.796813964844,6512.531031903346,18710.851669311523,9500.741958618164,0,0,0,0,136,104,140.53623722566596,105.40217791924947,68,76,70.28571428571429,3.9036002917941333,15.238095238095243,2,2,0,0,6,0,0,0,0.75,70.28571428571429,70.0,70.66666666666667,0,0,0,0,0,0,4,280,3,212,64240,65160,0,68,28462.40997314453,0,28462.40997314453,28462.40997314453,0,0,0,0
