frame.time_epoch,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,tcp.len,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.flags.ece,tcp.window_size_value,tcp.hdr_len
1766194180.240439633,6,10.1.0.6,10.1.0.7,38436,3000,76,0,False,True,False,False,False,False,False,False,64240,40
1766194180.240452634,6,10.1.0.7,10.1.0.6,3000,38436,56,0,False,False,True,False,True,False,False,False,0,20
1766194182.242714816,6,10.1.0.6,10.1.0.7,38446,3000,76,0,False,True,False,False,False,False,False,False,64240,40
1766194182.242726816,6,10.1.0.7,10.1.0.6,3000,38446,56,0,False,False,True,False,True,False,False,False,0,20
1766194184.245760890,6,10.1.0.6,10.1.0.7,38450,3000,76,0,False,True,False,False,False,False,False,False,64240,40
1766194184.245767690,6,10.1.0.7,10.1.0.6,3000,38450,56,0,False,False,True,False,True,False,False,False,0,20
1766194186.248459147,6,10.1.0.6,10.1.0.7,38462,3000,76,0,False,True,False,False,False,False,False,False,64240,40
1766194186.248466447,6,10.1.0.7,10.1.0.6,3000,38462,56,0,False,False,True,False,True,False,False,False,0,20
1766194188.250441769,6,10.1.0.6,10.1.0.7,36164,3000,76,0,False,True,False,False,False,False,False,False,64240,40
1766194188.250453369,6,10.1.0.7,10.1.0.6,3000,36164,56,0,False,False,True,False,True,False,False,False,0,20
1766194190.254080769,6,10.1.0.6,10.1.0.7,36166,3000,76,0,False,True,False,False,False,False,False,False,64240,40
1766194190.254088069,6,10.1.0.7,10.1.0.6,3000,36166,56,0,False,False,True,False,True,False,False,False,0,20
1766194192.255126738,6,10.1.0.6,10.1.0.7,36180,3000,76,0,False,True,False,False,False,False,False,False,64240,40
1766194192.255133938,6,10.1.0.7,10.1.0.6,3000,36180,56,0,False,False,True,False,True,False,False,False,0,20
1766194194.257849989,6,10.1.0.6,10.1.0.7,36182,3000,76,0,False,True,False,False,False,False,False,False,64240,40
1766194194.257856589,6,10.1.0.7,10.1.0.6,3000,36182,56,0,False,False,True,False,True,False,False,False,0,20
1766194196.259538289,6,10.1.0.6,10.1.0.7,36194,3000,76,0,False,True,False,False,False,False,False,False,64240,40
