Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
3000,6,20/12/2025 01:32:19,2438.3068084716797,4,2,280,144,76,68,70.0,4.0,76,68,72.0,5.656854249492381,173891.16026205142,2460.723965972426,487.66136169433594,948.8144158304774,2183.4373474121094,17.404556274414062,2438.3068084716797,812.7689361572266,1287.7254963585742,2299.5471954345703,50.54473876953125,2289.0567779541016,2289.0567779541016,0.0,2289.0567779541016,2289.0567779541016,0,0,0,0,136,72,1640.4826439816175,820.2413219908087,68,76,70.66666666666667,4.1311822359545785,17.06666666666667,2,2,0,0,5,0,0,0,0.5,70.66666666666667,70.0,72.0,0,0,0,0,0,0,4,280,2,144,64240,65160,0,68,2438.3068084716797,0,2438.3068084716797,2438.3068084716797,0,0,0,0,DDoS
3000,6,20/12/2025 01:32:19,20203190.803527832,352,273,55805,723250,457,68,158.5369318181818,149.2087919307031,14548,68,2649.2673992673995,3455.0952897601815,38560.98809223558,30.93570743740459,32376.908338986912,72324.38268225394,205495.11909484863,0.7152557373046875,20203190.803527832,57558.94815819895,88712.49234536424,205495.11909484863,9.059906005859375,20203134.298324585,74276.22903795804,99645.54225680268,248369.69375610352,14.066696166992188,96,268,0,0,11272,8744,17.422990428746267,13.512717008658326,68,14548,1246.488,2597.061763752181,6744729.80474359,2,2,0,364,624,0,0,0,0.7755681818181818,1246.488,158.5369318181818,2649.2673992673995,0,0,0,0,0,0,352,55805,273,723250,64240,65160,96,68,20203190.803527832,0,20203190.803527832,20203190.803527832,0,0,0,0,DDoS
3000,6,20/12/2025 01:32:19,20087061.643600464,321,244,53953,653213,457,68,168.0778816199377,155.62763103156988,15790,68,2677.1024590163934,3444.8328803907293,35205.0495262604,28.12755842664541,35615.3575241143,74851.25123892899,205816.98417663574,0.476837158203125,20087061.643600464,62772.06763625145,90475.11171962839,205816.98417663574,9.059906005859375,20087023.496627808,82662.64813427081,101630.14897223123,249990.46325683594,13.589859008789062,95,235,0,0,10280,7816,15.980435849474647,12.14712257717076,68,15790,1251.621238938053,2583.39045290723,6673906.232172223,2,2,0,330,564,0,0,0,0.7601246105919003,1251.621238938053,168.0778816199377,2677.1024590163934,0,0,0,0,0,0,321,53953,244,653213,64240,65160,95,68,20087061.643600464,0,20087061.643600464,20087061.643600464,0,0,0,0,DDoS
3000,6,20/12/2025 01:32:19,20013549.56626892,326,252,53853,644703,457,68,165.19325153374234,152.76275044509,14548,68,2558.345238095238,3251.791176020894,34904.153193162434,28.880434132192534,34685.52784448687,73819.67379315342,207489.7289276123,2.1457672119140625,20013549.56626892,61580.15251159668,89649.267576405,207489.7289276123,9.059906005859375,20013440.84739685,79734.82409321454,101280.03658564408,243648.76747131348,14.30511474609375,95,246,0,0,10440,8072,16.28896457974873,12.591469552443805,68,14548,1208.5743944636679,2454.3340737877757,6023755.745755699,2,2,0,341,577,0,0,0,0.7730061349693251,1208.5743944636679,165.19325153374234,2558.345238095238,0,0,0,0,0,0,326,53853,252,644703,64240,65160,95,68,20013549.56626892,0,20013549.56626892,20013549.56626892,0,0,0,0,DDoS
3000,6,20/12/2025 01:32:19,20031910.65788269,337,254,54831,760845,457,68,162.7032640949555,152.382412964819,15790,68,2995.452755905512,3726.518762953509,40718.83176450899,29.50292710932382,33952.39094556388,73636.02187439309,209562.3016357422,0.2384185791015625,20031910.65788269,59618.78171988896,89471.75713837639,209562.3016357422,10.251998901367188,20031869.411468506,79177.34945244469,101405.12113643033,251391.41082763672,12.874603271484375,95,246,0,0,10792,8136,16.823158097871623,12.679769011452201,68,15790,1380.1624365482232,2817.448497839211,7938016.037976427,2,2,0,341,590,0,0,0,0.7537091988130564,1380.1624365482232,162.7032640949555,2995.452755905512,0,0,0,0,0,0,337,54831,254,760845,64240,65160,95,68,20031910.65788269,0,20031910.65788269,20031910.65788269,0,0,0,0,DDoS
3000,6,20/12/2025 01:32:19,20084709.405899048,347,268,55007,688887,457,68,158.52161383285303,148.7003483742946,14548,68,2570.473880597015,3238.5803582963536,37037.82738233256,30.620308592534048,32711.25310407011,72449.65237658525,205803.87115478516,2.6226043701171875,20084709.405899048,58048.293080633084,88693.29493120678,205803.87115478516,10.013580322265625,20084668.159484863,75223.4762527523,100202.87148669777,251013.75579833984,8.344650268554688,95,262,0,0,11112,8584,17.276824522941972,13.343484069592073,68,14548,1209.5837398373983,2450.732112723568,6006087.888334525,2,2,0,357,614,0,0,0,0.7723342939481268,1209.5837398373983,158.52161383285303,2570.473880597015,0,0,0,0,0,0,347,55007,268,688887,64240,65160,95,68,20084709.405899048,0,20084709.405899048,20084709.405899048,0,0,0,0,DDoS
51502,6,20/12/2025 01:33:28,1.0,1,0,56,0,56,56,56.0,0.0,0,0,0.0,0.0,56000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0,1000000.0,0.0,56,56,56.0,0.0,0.0,0,0,1,0,1,0,0,0,0.0,56.0,56.0,0.0,0,0,0,0,0,0,1,56,0,0,0,0,0,56,1.0,0,1.0,1.0,0,0,0,0,DDoS
51514,6,20/12/2025 01:33:30,1.0,1,0,56,0,56,56,56.0,0.0,0,0,0.0,0.0,56000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0,1000000.0,0.0,56,56,56.0,0.0,0.0,0,0,1,0,1,0,0,0,0.0,56.0,56.0,0.0,0,0,0,0,0,0,1,56,0,0,0,0,0,56,1.0,0,1.0,1.0,0,0,0,0,DDoS
51518,6,20/12/2025 01:33:34,1.0,1,0,56,0,56,56,56.0,0.0,0,0,0.0,0.0,56000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0,1000000.0,0.0,56,56,56.0,0.0,0.0,0,0,1,0,1,0,0,0,0.0,56.0,56.0,0.0,0,0,0,0,0,0,1,56,0,0,0,0,0,56,1.0,0,1.0,1.0,0,0,0,0,DDoS
51530,6,20/12/2025 01:33:36,1.0,1,0,56,0,56,56,56.0,0.0,0,0,0.0,0.0,56000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0,1000000.0,0.0,56,56,56.0,0.0,0.0,0,0,1,0,1,0,0,0,0.0,56.0,56.0,0.0,0,0,0,0,0,0,1,56,0,0,0,0,0,56,1.0,0,1.0,1.0,0,0,0,0,DDoS
60242,6,20/12/2025 01:33:25,1.0,1,0,56,0,56,56,56.0,0.0,0,0,0.0,0.0,56000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0,1000000.0,0.0,56,56,56.0,0.0,0.0,0,0,1,0,1,0,0,0,0.0,56.0,56.0,0.0,0,0,0,0,0,0,1,56,0,0,0,0,0,56,1.0,0,1.0,1.0,0,0,0,0,DDoS
3000,6,20/12/2025 01:40:05,3284.2159271240234,4,3,280,212,76,68,70.0,4.0,76,68,70.66666666666667,4.618802153517006,149807.44595281305,2131.4067513611612,547.3693211873373,999.4894078523484,2560.138702392578,24.318695068359375,3284.2159271240234,1094.7386423746746,1746.6592022760508,3111.600875854492,82.0159912109375,3135.204315185547,1567.6021575927734,1554.0385982936848,2666.473388671875,468.7309265136719,0,0,0,0,136,104,1217.946715063521,913.4600362976406,68,76,70.28571428571429,3.9036002917941333,15.238095238095243,2,2,0,0,6,0,0,0,0.75,70.28571428571429,70.0,70.66666666666667,0,0,0,0,0,0,4,280,3,212,64240,65160,0,68,3284.2159271240234,0,3284.2159271240234,3284.2159271240234,0,0,0,0,DDoS
3000,6,20/12/2025 01:40:05,20123359.203338623,342,278,53146,676624,457,68,155.39766081871346,147.35334593270028,14548,68,2433.8992805755397,3222.0640318277406,36264.82003456588,30.809965360909384,32509.46559505432,70990.8455872154,210510.4923248291,1.6689300537109375,20123359.203338623,59012.78358750329,87662.76517193473,210510.4923248291,10.013580322265625,20123279.094696045,72647.21694836118,99751.5671279362,254019.73724365234,15.974044799804688,90,255,0,0,10952,8904,16.995174441017756,13.814790919891626,68,14548,1177.0483870967741,2438.004470989096,5943865.80056282,2,2,0,345,619,0,0,0,0.8128654970760234,1177.0483870967741,155.39766081871346,2433.8992805755397,0,0,0,0,0,0,342,53146,278,676624,64240,65160,90,68,20123359.203338623,0,20123359.203338623,20123359.203338623,0,0,0,0,DDoS
3000,6,20/12/2025 01:40:05,20146994.590759277,340,263,54114,605853,453,68,159.15882352941176,151.71757475087503,14548,68,2303.6235741444866,2926.458507467804,32757.590569002474,29.930022430073766,33466.768423188165,71914.13888635374,212870.83625793457,3.0994415283203125,20146994.590759277,59430.66250961439,87795.5955327347,212870.83625793457,9.775161743164062,20146934.032440186,76896.69478030605,102386.76364481884,253170.72868347168,10.49041748046875,91,249,0,0,10888,8424,16.875966212645242,13.054056217428524,68,14548,1094.4726368159204,2207.495194494985,4873035.033718451,2,2,0,340,602,0,0,0,0.7735294117647059,1094.4726368159204,159.15882352941176,2303.6235741444866,0,0,0,0,0,0,340,54114,263,605853,64240,65160,91,68,20146994.590759277,0,20146994.590759277,20146994.590759277,0,0,0,0,DDoS
3000,6,20/12/2025 01:40:05,20157655.477523804,310,255,50530,500960,453,68,163.0,152.10773732471768,9073,68,1964.549019607843,2720.1748099347155,27358.836478524132,28.029053310787383,35740.5238963188,73047.92710246121,212684.39292907715,3.337860107421875,20157655.477523804,65235.130995222666,89269.27400793122,212684.39292907715,11.205673217773438,20157599.687576294,79360.62869124525,101098.29898592643,251211.64321899414,13.589859008789062,88,222,0,0,9928,8168,15.378772612998388,12.650280697788997,68,9073,976.0884955752213,2037.188924856726,4150138.7155589033,2,2,0,310,564,0,0,0,0.8225806451612904,976.0884955752213,163.0,1964.549019607843,0,0,0,0,0,0,310,50530,255,500960,64240,65160,88,68,20157655.477523804,0,20157655.477523804,20157655.477523804,0,0,0,0,DDoS
3000,6,20/12/2025 01:40:05,20102835.178375244,318,248,52090,595641,457,68,163.80503144654088,153.6438783766451,13100,68,2401.7782258064517,3089.6388838177286,32220.87801310576,28.1552325817629,35580.239253761494,73729.63984618432,260113.71612548828,3.0994415283203125,20102835.178375244,63415.88384345503,89200.15907054863,260113.71612548828,10.967254638671875,20102772.47428894,81387.7428108864,103884.10406612442,292864.5610809326,8.821487426757812,90,230,0,0,10184,7944,15.818664242050534,12.336568339712365,68,13100,1144.4010600706713,2328.423405965977,5421555.557450201,2,2,0,320,565,0,0,0,0.779874213836478,1144.4010600706713,163.80503144654088,2401.7782258064517,0,0,0,0,0,0,318,52090,248,595641,64240,65160,90,68,20102835.178375244,0,20102835.178375244,20102835.178375244,0,0,0,0,DDoS
3000,6,20/12/2025 01:40:05,20056376.695632935,325,264,51573,620076,457,68,158.68615384615384,148.77443764083475,11652,68,2348.7727272727275,3082.106380842088,33488.05271224511,29.367218662593654,34109.484176246486,72289.8007607158,221537.11318969727,0.0,20056376.695632935,61902.39720874363,88651.9144275,221537.11318969727,12.39776611328125,20056291.103363037,76259.66198997352,100606.47122063352,251039.98184204102,16.689300537109375,89,242,0,0,10408,8456,16.204322691583936,13.16289597100972,68,11652,1140.320882852292,2334.3830385497163,5449344.170668607,2,2,0,331,588,0,0,0,0.8123076923076923,1140.320882852292,158.68615384615384,2348.7727272727275,0,0,0,0,0,0,325,51573,264,620076,64240,65160,89,68,20056376.695632935,0,20056376.695632935,20056376.695632935,0,0,0,0,DDoS
44376,6,20/12/2025 01:41:08,1.0,1,0,56,0,56,56,56.0,0.0,0,0,0.0,0.0,56000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0,1000000.0,0.0,56,56,56.0,0.0,0.0,0,0,1,0,1,0,0,0,0.0,56.0,56.0,0.0,0,0,0,0,0,0,1,56,0,0,0,0,0,56,1.0,0,1.0,1.0,0,0,0,0,DDoS
44378,6,20/12/2025 01:41:11,1.0,1,0,56,0,56,56,56.0,0.0,0,0,0.0,0.0,56000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0,1000000.0,0.0,56,56,56.0,0.0,0.0,0,0,1,0,1,0,0,0,0.0,56.0,56.0,0.0,0,0,0,0,0,0,1,56,0,0,0,0,0,56,1.0,0,1.0,1.0,0,0,0,0,DDoS
3000,6,20/12/2025 01:48:43,1127.9582977294922,4,3,280,212,76,68,70.0,4.0,76,68,70.66666666666667,4.618802153517006,436186.3386176284,6205.903191714226,187.99304962158203,314.5193008933959,828.5045623779297,30.279159545898438,1127.9582977294922,375.98609924316406,492.71211149269703,944.8528289794922,83.92333984375,1020.4315185546875,510.21575927734375,450.12834209634826,828.5045623779297,191.9269561767578,0,0,0,0,136,104,3546.2303952652715,2659.6727964489537,68,76,70.28571428571429,3.9036002917941333,15.238095238095243,2,2,0,0,6,0,0,0,0.75,70.28571428571429,70.0,70.66666666666667,0,0,0,0,0,0,4,280,3,212,64240,65160,0,68,1127.9582977294922,0,1127.9582977294922,1127.9582977294922,0,0,0,0,DDoS
3000,6,20/12/2025 01:48:43,20022477.388381958,342,262,54034,641776,457,68,157.99415204678363,148.6925224796492,14548,68,2449.5267175572517,3230.317462610312,34751.44391491453,30.1660972458119,33204.77178836145,72440.89416851681,212444.06700134277,2.6226043701171875,20022477.388381958,58716.94248792363,88409.26312984742,212444.06700134277,9.5367431640625,20022354.8412323,76714.00322311226,101000.9907603593,253785.1333618164,14.781951904296875,93,248,0,0,10952,8392,17.080803407396804,13.085293838415096,68,14548,1152.0033112582782,2412.677478153201,5821012.61358769,2,2,0,341,603,0,0,0,0.7660818713450293,1152.0033112582782,157.99415204678363,2449.5267175572517,0,0,0,0,0,0,342,54034,262,641776,64240,65160,93,68,20022477.388381958,0,20022477.388381958,20022477.388381958,0,0,0,0,DDoS
3000,6,20/12/2025 01:48:43,20148082.971572876,316,225,54570,713748,457,68,172.68987341772151,160.81322704418588,15790,68,3172.213333333333,3939.0581745513737,38133.55350402454,26.851189801198558,37311.264762171995,76359.01596017128,207496.88148498535,3.0994415283203125,20148082.971572876,63962.168163723414,91181.71098902942,207496.88148498535,10.013580322265625,20147933.959960938,89946.13374982562,103836.66359353511,249567.50869750977,10.013580322265625,95,218,0,0,10120,7208,15.683874264655723,11.167315536542839,68,15790,1420.181146025878,2939.5780171611714,8641118.918977205,2,2,0,313,540,0,0,0,0.7120253164556962,1420.181146025878,172.68987341772151,3172.213333333333,0,0,0,0,0,0,316,54570,225,713748,64240,65160,95,68,20148082.971572876,0,20148082.971572876,20148082.971572876,0,0,0,0,DDoS
3000,6,20/12/2025 01:48:43,20058911.323547363,335,264,54400,688947,457,68,162.38805970149255,152.27130247555255,13100,68,2609.6477272727275,3182.870922436559,37058.192641161804,29.86203938679502,33543.32997248723,73033.08881326103,206966.63856506348,0.2384185791015625,20058911.323547363,60056.62072918372,89324.14385665157,206966.63856506348,10.728836059570312,20058818.340301514,76269.2712558993,100305.72828480777,249460.69717407227,9.5367431640625,94,252,0,0,10728,8456,16.70080666874179,13.161232718053231,68,13100,1240.9799666110184,2438.6704659995494,5947113.64173846,2,2,0,346,598,0,0,0,0.7880597014925373,1240.9799666110184,162.38805970149255,2609.6477272727275,0,0,0,0,0,0,335,54400,264,688947,64240,65160,94,68,20058911.323547363,0,20058911.323547363,20058911.323547363,0,0,0,0,DDoS
3000,6,20/12/2025 01:48:43,20183241.367340088,344,264,55242,669079,453,68,160.5872093023256,151.10608116800012,15790,68,2534.3901515151515,3333.7615761242673,35887.2485750517,30.12400183569361,33250.809501384,72879.05829403111,205088.13858032227,0.476837158203125,20183241.367340088,58843.2692925367,88923.9231054927,205088.13858032227,10.49041748046875,20183150.52986145,76742.0172238078,100987.41878449342,252154.82711791992,17.404556274414062,95,258,0,0,11016,8456,17.04384314387928,13.08015869181433,68,15790,1191.3174342105262,2492.9842281895753,6214970.362001972,2,2,0,353,607,0,0,0,0.7674418604651163,1191.3174342105262,160.5872093023256,2534.3901515151515,0,0,0,0,0,0,344,55242,264,669079,64240,65160,95,68,20183241.367340088,0,20183241.367340088,20183241.367340088,0,0,0,0,DDoS
