frame.time_epoch,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,tcp.len,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.flags.ece,tcp.window_size_value,tcp.hdr_len
1766194268.497493249,6,10.111.111.146,10.1.0.6,4444,39156,56,0,False,False,True,False,True,False,False,False,0,20
1766194271.000972165,6,10.111.111.146,10.1.0.6,4444,39158,56,0,False,False,True,False,True,False,False,False,0,20
1766194273.714323692,6,10.111.111.146,10.1.0.6,4444,39174,56,0,False,False,True,False,True,False,False,False,0,20
1766194276.280930548,6,10.111.111.146,10.1.0.6,4444,39188,56,0,False,False,True,False,True,False,False,False,0,20
1766194279.772481699,6,10.111.111.146,10.1.0.6,4444,57976,56,0,False,False,True,False,True,False,False,False,0,20
1766194339.989002791,6,10.1.0.13,10.1.0.9,50900,3000,76,0,False,True,False,False,False,False,False,False,64240,40
1766194339.989035892,6,10.1.0.9,10.1.0.13,3000,50900,76,0,False,True,False,False,True,False,False,False,65160,40
1766194339.989053393,6,10.1.0.13,10.1.0.9,50900,3000,68,0,False,False,False,False,True,False,False,False,502,32
1766194339.989141498,6,10.1.0.13,10.1.0.9,50900,3000,68,0,True,False,False,False,True,False,False,False,502,32
1766194339.991324906,6,10.1.0.9,10.1.0.13,3000,50900,68,0,True,False,False,False,True,False,False,False,510,32
1766194339.991441011,6,10.1.0.13,10.1.0.9,50900,3000,68,0,False,False,False,False,True,False,False,False,502,32
1766194339.996442159,6,10.1.0.13,10.1.0.9,50910,3000,76,0,False,True,False,False,False,False,False,False,64240,40
1766194339.996460560,6,10.1.0.9,10.1.0.13,3000,50910,76,0,False,True,False,False,True,False,False,False,65160,40
1766194339.996490561,6,10.1.0.13,10.1.0.9,50910,3000,68,0,False,False,False,False,True,False,False,False,502,32
1766194339.996612167,6,10.1.0.13,10.1.0.9,50912,3000,76,0,False,True,False,False,False,False,False,False,64240,40
1766194339.996622468,6,10.1.0.9,10.1.0.13,3000,50912,76,0,False,True,False,False,True,False,False,False,65160,40
1766194339.996646169,6,10.1.0.13,10.1.0.9,50912,3000,68,0,False,False,False,False,True,False,False,False,502,32
1766194339.997618917,6,10.1.0.13,10.1.0.9,50928,3000,76,0,False,True,False,False,False,False,False,False,64240,40
1766194339.997626117,6,10.1.0.9,10.1.0.13,3000,50928,76,0,False,True,False,False,True,False,False,False,65160,40
1766194339.997640718,6,10.1.0.13,10.1.0.9,50928,3000,68,0,False,False,False,False,True,False,False,False,502,32
1766194339.997826227,6,10.1.0.13,10.1.0.9,50910,3000,412,344,False,False,False,True,True,False,False,False,502,32
1766194339.997833327,6,10.1.0.9,10.1.0.13,3000,50910,68,0,False,False,False,False,True,False,False,False,507,32
1766194339.997924732,6,10.1.0.13,10.1.0.9,50912,3000,401,333,False,False,False,True,True,False,False,False,502,32
1766194339.997931432,6,10.1.0.9,10.1.0.13,3000,50912,68,0,False,False,False,False,True,False,False,False,507,32
1766194339.998046638,6,10.1.0.13,10.1.0.9,50928,3000,415,347,False,False,False,True,True,False,False,False,502,32
1766194339.998054738,6,10.1.0.9,10.1.0.13,3000,50928,68,0,False,False,False,False,True,False,False,False,507,32
1766194339.998387955,6,10.1.0.13,10.1.0.9,50938,3000,76,0,False,True,False,False,False,False,False,False,64240,40
1766194339.998394455,6,10.1.0.9,10.1.0.13,3000,50938,76,0,False,True,False,False,True,False,False,False,65160,40
1766194339.998408756,6,10.1.0.13,10.1.0.9,50938,3000,68,0,False,False,False,False,True,False,False,False,502,32
1766194339.998615666,6,10.1.0.13,10.1.0.9,50942,3000,76,0,False,True,False,False,False,False,False,False,64240,40
1766194339.998622067,6,10.1.0.9,10.1.0.13,3000,50942,76,0,False,True,False,False,True,False,False,False,65160,40
